question,intent
이번 화천 여행 갈 것 같거든 어디 갈까,여행지
서울 관광지 궁금하네 알려줘,여행지
대구 관광지 알고 싶어,여행지
광주 관광지 나한테 추천 해주겠니,여행지
대전 관광지 알 수 있을까,여행지
여수 유명한 놀 곳 있나,여행지
창녕 여행지 어디 좋아,여행지
연천 볼만한 거 뭐 있냐,여행지
나 모레 포천 가는데 어디 갈까,여행지
우리 내일 가평 가는데 어디 좋니,여행지
나 이번 달 남자친구랑 놀러 가는데 어디 좋아,여행지
우리 가을 여행 가는데 어디 갈만한 곳 없으려나,여행지
완산구 뭐 있지 볼만한 거,여행지
인사동 진짜 좋은 곳 알려주겠니,여행지
갈만한 여행지 어디 있을까요,여행지
모레 부산 가는데 추천해줘,여행지
이번 주 여행 가는데 특히 광주 어디 갈까,여행지
양구 괜찮은 곳 있니,여행지
양양 이번 가는데 여행지 어디 추천할래,여행지
나 모레 포천 가는데 괜찬은 곳 있냐,여행지
내일 아마 울진 가거든 어디 좋니,여행지
문산 갈만한 곳 보여줘,여행지
경상남도 유명한 곳 어디 있니 내일 여행 가거든,여행지
아마 나 모레 여행 갈듯 한데 대덕 어디 갈까,여행지
송파구 놀만한 명소 어디 있니,여행지
성동구 들러봐야 하는 명소 추천 해주라,여행지
양천구 볼만한 명소 알고싶어,여행지
동대문 꼭 들려야 하는 관광지 있을까 내일 가기 했거든,여행지
남서울 진짜 좋은 명소 추천 좀 해줘,여행지
강북구 꼭 들려야 하는 관광지 알려줄래,여행지
중구 볼만한 관광지 알려주라,여행지
오랜만 광주 여행한다 어디 갈지 말해줘,여행지
간만 여행 가는데 인천 갈 것 같거든 여행지 추천 좀,여행지
양천 구경 할만한 명소 알려줄래,여행지
종로 가기 좋은 명소 알려주세요,여행지
금천구 들려야 하는 명소 추천 해주라,여행지
홍대 근처 구경하기 좋은 관광지 추천 해주라,여행지
이대 근처 구경하기 좋은 명소 알고싶어,여행지
건대 꼭 들려야 하는 관광지 알려줘,여행지
종로구 놀만한 관광지 어디 있냐,여행지
평창 관광할만한 명소 알려줘,여행지
완주 가까운 관광지 알려주라,여행지
평택 들려야 하는 명소 어디 있니,여행지
강진 구경하기 좋은 명소 어디 있니,여행지
고산 구경할만한 장소 있냐,여행지
부평 어디 가야 할지 모르겠어,여행지
오봉산 관광지 보여줘봐,여행지
백운산 관광지 알려줘봐,여행지
춘천 근처 진짜 좋은 관광지 알려줘봐요,여행지
영양 가볼 만한 명소 보여줘 봐요,여행지
내일 나 여행 가 어디 갈까,여행지
여름 진천 관광지 어디 좋니,여행지
모레 명소 추천 해주라,여행지
내일모레 목포 가는데 여행지 알려줘,여행지
아마 여행 갈 거 같으니까 여행지 추천,여행지
나 친구랑 모레 놀러 가는데 서울 여행지 어디 추천,여행지
근데 진짜 좋은 여행지 없을까,여행지
그 때 갔던 여행지 추천,여행지
가을 친구랑 아마 놀러 가는데 부산 여행지 어디 추천,여행지
봄 진짜 좋은 여행지 없을까,여행지
강원도 갈만한 여행지 추천,여행지
영덕 명소 어디 있니,여행지
겨울 관광지 알려줄래,여행지
서산 명소 추천 해주세요,여행지
서천 소문난 명소 알려줘LOCATION O O O ,여행지
이번 관광지 알려주라,여행지
오늘 명소 알려줄래,여행지
모레 명소 추천 해줘,여행지
가을 관광지 알려주라,여행지
봄 관광지 추천 해주라,여행지
여름 강남 명소 알려줘,여행지
가을 명소 추천 해주세요,여행지
겨울 관광지 추천 해줘,여행지
1월 관광지 어디 있냐,여행지
2월 진천 관광지 어디 좋니,여행지
3월 명소 추천 해주라,여행지
4월 목포 가는데 여행지 알려줘,여행지
5월 관광지 어디 있냐,여행지
6월 오산 관광지 어디 좋니,여행지
7월 좋은 곳 추천 해줘,여행지
8월 여행지 어디 있을까요,여행지
9월 부산 가는데 추천해줘,여행지
10월 여행 어디 갈까,여행지
11월 영광 제일 유명한 명소 알려줄래,여행지
12월 어디 여행 명소 추천해줘,여행지
영월 주변 진짜 유명한 명소 있을까,여행지
1월 2일 명소 추천,여행지
2월 8일 관광 명소 추천해줘,여행지
3월 16일 어디 갈까,여행지
4월 24일 제일 유명한 명소 알려줄래,여행지
5월 3일 여행 장소 추천해줘,여행지
6월 9일 진짜 유명한 명소 있을까,여행지
7월 17일 관광 갈 것 같은데 어디 가,여행지
8월 5일 어디 있냐,여행지
9월 15일 추천 해주라,여행지
10월 29일 관광 할만한 장소 있을까,여행지
11월 7일 여행지 추천,여행지
12월 13일 명소 추천,여행지
1월 6일 명소 추천,여행지
2월 18일 관광 명소 추천해줘,여행지
3월 21일 어디 갈까,여행지
4월 28일 제일 유명한 명소 알려줄래,여행지
5월 12일 여행 장소 추천해줘,여행지
6월 14일 진짜 유명한 명소 있을까,여행지
7월 22일 관광 갈 것 같은데 어디 가,여행지
8월 5일 어디 있냐,여행지
9월 26일 추천 해주라,여행지
10월 19일 관광 할만한 장소 있을까,여행지
11월 1일 여행지 추천,여행지
12월 3일 명소 추천,여행지
